"Specimen","lon","lat"
"JDL694-CA02-2014-S-Bb",-122.2007,41.3615
"JDL695-CA02-2014-S-Bb",-122.2007,41.3615
"JDL696-CA02-2014-S-Bb",-122.2007,41.3615
"JDL697-CA02-2014-S-Bb",-122.2007,41.3615
"JDL698-CA02-2014-S-Bb",-122.2007,41.3615
"JDL699-CA02-2014-S-Bb",-122.2007,41.3615
"JDL700-CA02-2014-S-Bb",-122.2007,41.3615
"JDL701-CA02-2014-S-Bb",-122.2007,41.3615
"JDL702-CA02-2014-S-Bb",-122.2007,41.3615
"JDL703-CA02-2014-S-Bb",-122.2007,41.3615
"JDL719-OR02-2014-S-Bb",-122.1197,43.3103
"JDL720-OR02-2014-S-Bb",-122.1197,43.3103
"JDL721-OR02-2014-S-Bb",-122.1197,43.3103
"JDL722-OR02-2014-S-Bb",-122.1197,43.3103
"JDL723-OR02-2014-S-Bb",-122.1197,43.3103
"JDL724-OR02-2014-S-Bb",-122.1197,43.3103
"JDL725-OR02-2014-S-Bb",-122.1197,43.3103
"JDL726-OR02-2014-S-Bb",-122.1197,43.3103
"JDL727-OR02-2014-S-Bb",-122.1197,43.3103
"JDL729-OR02-2014-S-Bb",-122.1197,43.3103
"JDL730-OR02-2014-S-Bb",-122.1197,43.3103
"JDL731-OR02-2014-S-Bb",-122.1197,43.3103
"JDL732-OR02-2014-S-Bb",-122.1197,43.3103
"JDL733-OR02-2014-S-Bb",-122.1197,43.3103
"JDL734-OR02-2014-S-Bb",-122.1197,43.3103
"JDL735-OR02-2014-S-Bb",-122.1197,43.3103
"JDL749-OR04-2014-S-Bb",-121.6481,45.3124
"JDL750-OR04-2014-S-Bb",-121.6481,45.3124
"JDL751-OR04-2014-S-Bb",-121.6481,45.3124
"JDL752-OR04-2014-S-Bb",-121.6481,45.3124
"JDL754-OR04-2014-S-Bb",-121.6481,45.3124
"JDL756-OR04-2014-S-Bb",-121.6481,45.3124
"JDL757-OR04-2014-S-Bb",-121.6481,45.3124
"JDL758-OR04-2014-S-Bb",-121.6481,45.3124
"JDL759-OR04-2014-S-Bb",-121.6481,45.3124
"JDL760-OR04-2014-S-Bb",-121.6481,45.3124
"JDL761-OR04-2014-S-Bb",-121.6481,45.3124
"JDL762-OR04-2014-S-Bb",-121.6481,45.3124
"JDL763-OR04-2014-S-Bb",-121.6481,45.3124
"JDL764-OR04-2014-S-Bb",-121.6481,45.3124
"JDL765-OR04-2014-S-Bb",-121.6481,45.3124
"JDL766-OR04-2014-S-Bb",-121.6481,45.3124
"JDL867-OR10-2014-S-Bb",-122.7173,42.0761
"JDL868-OR10-2014-S-Bb",-122.7173,42.0761
"JDL869-OR10-2014-S-Bb",-122.7173,42.0761
"JDL870-OR10-2014-S-Bb",-122.7173,42.0761
"JDL871-OR10-2014-S-Bb",-122.7173,42.0761
