"Specimen","lon","lat"
"JDL145-OR05-2012--Bv",-122.6896,42.1847
"JDL147-OR05-2012--Bv",-122.6896,42.1847
"JDL148-OR05-2012--Bv",-122.6896,42.1847
"JDL149-OR05-2012--Bv",-122.6896,42.1847
"JDL153-OR05-2012--Bv",-122.6896,42.1847
"JDL156-OR06-2012--Bv",-122.6795,42.1795
"JDL158-OR06-2012--Bv",-122.6795,42.1795
"JDL161-OR06-2012--Bv",-122.6795,42.1795
"JDL162-OR06-2012--Bv",-122.6795,42.1795
"JDL163-OR06-2012--Bv",-122.6795,42.1795
"JDL172-OR06-2012--Bv",-122.6795,42.1795
"JDL195-OR08-2012--Bv",-122.7173,42.0761
"JDL196-OR08-2012--Bv",-122.7173,42.0761
"JDL197-OR08-2012--Bv",-122.7173,42.0761
"JDL199-OR08-2012--Bv",-122.7173,42.0761
"JDL200-OR08-2012--Bv",-122.7173,42.0761
"JDL201-OR08-2012--Bv",-122.7173,42.0761
"JDL202-OR08-2012--Bv",-122.7173,42.0761
"JDL203-OR08-2012--Bv",-122.7173,42.0761
"JDL204-OR08-2012--Bv",-122.7173,42.0761
"JDL205-OR08-2012--Bv",-122.7173,42.0761
"JDL213-OR09-2012--Bv",-122.7537,42.0733
"JDL214-OR09-2012--Bv",-122.7537,42.0733
"JDL215-OR09-2012--Bv",-122.7537,42.0733
"JDL217-OR09-2012--Bv",-122.7537,42.0733
"JDL221-OR09-2012--Bv",-122.7537,42.0733
"JDL222-OR09-2012--Bv",-122.7537,42.0733
"JDL223-OR09-2012--Bv",-122.7537,42.0733
"JDL228-OR09-2012--Bv",-122.7537,42.0733
"JDL229-OR09-2012--Bv",-122.7537,42.0733
"JDL230-OR09-2012--Bv",-122.7537,42.0733
"JDL252-OR11-2012--Bv",-123.0847,42.1184
"JDL254-OR11-2012--Bv",-123.0847,42.1184
"JDL255-OR11-2012--Bv",-123.0847,42.1184
"JDL256-OR11-2012--Bv",-123.0847,42.1184
"JDL257-OR11-2012--Bv",-123.0847,42.1184
"JDL258-OR11-2012--Bv",-123.0847,42.1184
"JDL259-OR11-2012--Bv",-123.0847,42.1184
"JDL260-OR11-2012--Bv",-123.0847,42.1184
"JDL261-OR11-2012--Bv",-123.0847,42.1184
"JDL262-OR11-2012--Bv",-123.0847,42.1184
"JDL263-OR11-2012--Bv",-123.0847,42.1184
"JDL264-OR11-2012--Bv",-123.0847,42.1184
"JDL287-CA02-2012--Bv",-122.3157,41.315
"JDL288-CA02-2012--Bv",-122.3157,41.315
"JDL290-CA02-2012--Bv",-122.3157,41.315
"JDL291-CA02-2012--Bv",-122.3157,41.315
"JDL292-CA02-2012--Bv",-122.3157,41.315
"JDL293-CA02-2012--Bv",-122.3157,41.315
"JDL294-CA02-2012--Bv",-122.3157,41.315
"JDL295-CA02-2012--Bv",-122.3157,41.315
"JDL296-CA02-2012--Bv",-122.3157,41.315
"JDL298-CA02-2012--Bv",-122.3157,41.315
"JDL299-CA02-2012--Bv",-122.3157,41.315
"JDL300-CA02-2012--Bv",-122.3157,41.315
"JDL301-CA02-2012--Bv",-122.3157,41.315
"JDL302-CA02-2012--Bv",-122.3157,41.315
"JDL305-CA03-2012--Bv",-122.2677,41.3338
"JDL306-CA03-2012--Bv",-122.2677,41.3338
"JDL307-CA03-2012--Bv",-122.2677,41.3338
"JDL308-CA03-2012--Bv",-122.2677,41.3338
"JDL309-CA03-2012--Bv",-122.2677,41.3338
"JDL310-CA03-2012--Bv",-122.2677,41.3338
"JDL311-CA03-2012--Bv",-122.2677,41.3338
"JDL312-CA03-2012--Bv",-122.2677,41.3338
"JDL313-CA03-2012--Bv",-122.2677,41.3338
"JDL314-CA03-2012--Bv",-122.2677,41.3338
"JDL316-CA03-2012--Bv",-122.2677,41.3338
"JDL317-CA03-2012--Bv",-122.2677,41.3338
"JDL318-CA03-2012--Bv",-122.2677,41.3338
"JDL325-CA04-2012--Bv",-122.2075,41.3556
"JDL326-CA04-2012--Bv",-122.2075,41.3556
"JDL327-CA04-2012--Bv",-122.2075,41.3556
"JDL328-CA04-2012--Bv",-122.2075,41.3556
"JDL336-CA04-2012--Bv",-122.2075,41.3556
"JDL337-CA04-2012--Bv",-122.2075,41.3556
"JDL338-CA04-2012--Bv",-122.2075,41.3556
"JDL339-CA04-2012--Bv",-122.2075,41.3556
"JDL340-CA04-2012--Bv",-122.2075,41.3556
"JDL341-CA04-2012--Bv",-122.2075,41.3556
"JDL343-CA04-2012--Bv",-122.2075,41.3556
"JDL344-CA04-2012--Bv",-122.2075,41.3556
"JDL345-CA04-2012--Bv",-122.2075,41.3556
"JDL346-CA04-2012--Bv",-122.2075,41.3556
"JDL347-CA04-2012--Bv",-122.2075,41.3556
"JDL482-CA03-2013--Bv",-119.7968,37.7531
"JDL483-CA03-2013--Bv",-119.7968,37.7531
"JDL484-CA03-2013--Bv",-119.7968,37.7531
"JDL485-CA03-2013--Bv",-119.7968,37.7531
"JDL486-CA03-2013--Bv",-119.7968,37.7531
"JDL487-CA03-2013--Bv",-119.7968,37.7531
"JDL488-CA03-2013--Bv",-119.7968,37.7531
"JDL489-CA03-2013--Bv",-119.7968,37.7531
"JDL490-CA03-2013--Bv",-119.7968,37.7531
"JDL554-CA07-2013--Bv",-119.6782,38.323
"JDL555-CA07-2013--Bv",-119.6782,38.323
"JDL556-CA07-2013--Bv",-119.6782,38.323
"JDL557-CA07-2013--Bv",-119.6782,38.323
"JDL558-CA07-2013--Bv",-119.6782,38.323
"JDL559-CA07-2013--Bv",-119.6782,38.323
